x1,x2,y
 2.526092968,  0.321050446, 0
 0.366954472,  0.031462099, 0
 0.768219076,  0.717486166, 0
 0.693435680,  0.777194034, 0
-0.019836616,  0.867253738, 0
 2.196544935, -1.023014058, 0
-0.109159157, -0.530621080, 0
-0.912620059,  1.216216381, 0
 2.499842651, -0.418277898, 0
 1.897709107,  0.973755498, 0
-0.295362353,  0.009673168, 0
-0.681595736, -0.551650278, 0
 2.490978713,  1.148315275, 0
-0.053430597,  0.484102460, 0
 0.687617592,  0.705004818, 0
 1.279559523, -0.271033290, 0
-0.313007477,  1.273747315, 0
 2.813038608,  1.167759713, 0
 0.319988146,  0.017201649, 0
 0.437542376,  0.413648012, 0
 2.432939360, -1.314363134, 0
-0.429649585, -0.309811219, 0
 0.248728401,  0.855519879, 0
 2.693936802, -1.999853402, 0
 1.467109246,  1.877590719, 0
 1.040697342, -0.085187569, 0
 0.033318463,  1.930257493, 0
 1.725681429, -0.455959142, 0
 1.149480708, -0.919790286, 0
 2.126868516,  1.154179996, 0
 2.988126490,  0.672350664, 0
 1.071866057, -1.643018423, 0
 1.084827301,  0.102975324, 0
 0.267442252,  0.362826378, 0
 1.282878941,  1.276901247, 0
 0.129985619,  0.544177695, 0
 2.489806031,  1.358509888, 0
 0.818429991,  0.379000419, 0
 1.532257922, -1.082164290, 0
 0.708542916,  0.022464061, 0
 1.520914290, -0.742851486, 0
 0.887558794,  0.883552173, 0
 1.576976508, -0.744933603, 0
 2.342765510,  0.358477769, 0
-0.191272364,  2.493685703, 0
 1.749188014, -0.357915928, 0
-0.840369051,  1.881741308, 0
 0.946183859,  0.073293605, 0
 0.915277236, -0.901759351, 0
 1.348700546,  0.070452553, 0
 2.929863726,  0.738892516, 0
 0.323206613,  0.287959243, 0
 2.071415038, -0.830414760, 0
-0.302274664,  0.886232609, 0
 0.192282525, -0.479446546, 0
-0.727077155,  1.457361044, 0
 0.134347469,  0.901675787, 0
-0.077114461,  0.505121685, 0
 2.710763558,  0.876644795, 0
 4.170746208,  1.079833767, 0
 0.325768984,  0.347995798, 0
 0.205190129,  2.453887785, 0
 1.640157488,  1.608536949, 0
-0.079583353,  0.323311979, 0
 2.742092422, -1.600352769, 0
 0.310785039,  2.007981737, 0
 2.290042376,  0.137389748, 0
 0.659906227, -1.241636702, 0
 0.516429077,  0.525151558, 0
 2.482942028, -0.737176464, 0
 1.053188784, -0.903565594, 0
 1.715233331, -1.014726822, 0
 1.210624499, -0.109150387, 0
 1.072035946, -0.165204649, 0
 0.878706588, -0.787134923, 0
 0.951265099, -1.095889767, 0
 0.425475683,  0.184898617, 0
 2.125104790, -0.761847144, 0
 0.087614787, -0.733347412, 0
 2.285264980,  1.008993039, 0
 0.470808790,  0.025438551, 0
 3.611574669,  0.490536018, 0
