row.names,east.west,north.south,angle,radial.position,velocity
3,8.46278858184814,-38.1731719970703,102.5,39.0999980933372,1769
4,7.96497774124146,-35.9276924133301,102.5,36.7999993555072,1749
5,7.46716690063477,-33.6822128295898,102.5,34.5000006176771,1749
6,6.96935558319092,-31.436731338501,102.5,32.1999999145038,1758
7,6.47154426574707,-29.1912498474121,102.5,29.8999992113304,1750
8,5.97373342514038,-26.9457702636719,102.5,27.6000004735004,1745
9,5.47592210769653,-24.700288772583,102.5,25.2999997703271,1750
10,4.97811126708984,-22.4548072814941,102.5,22.9999991703602,1753
11,4.480299949646,-20.2093276977539,102.5,20.7000003293237,1734
12,3.98248887062073,-17.963846206665,102.5,18.3999996777536,1710
13,3.46303391456604,-15.6207361221313,102.5,16.0000000278342,1711
14,2.96522259712219,-13.3752555847168,102.5,13.7000002557293,1709
15,2.46741151809692,-11.1297740936279,102.5,11.3999996041592,1674
16,1.96960055828094,-8.8842945098877,102.5,9.1000008405275,1665
17,1.47178936004639,-6.63881301879883,102.5,6.80000016315577,1680
18,0.973978281021118,-4.39333200454712,102.5,4.49999997711987,1648
19,0.476167172193527,-2.14785122871399,102.5,2.20000001740068,1626
20,-0.0216439608484507,0.0976295992732048,102.5,-0.0999999984772791,1581
21,-0.519455075263977,2.34311056137085,102.5,-2.40000014125523,1602
22,-1.01726615428925,4.5885910987854,102.5,-4.69999986175692,1558
23,-1.5150773525238,6.83407211303711,102.5,-7.00000007359443,1538
24,-2.01288843154907,9.07955265045166,102.5,-9.29999979409612,1506
25,-2.51069951057434,11.3250341415405,102.5,-11.6000004456662,1521
26,-3.00851058959961,13.5705137252808,102.5,-13.8999992350995,1498
27,-3.5279655456543,15.9136238098145,102.5,-16.2999988850189,1501
28,-4.02577686309814,18.1591053009033,102.5,-18.5999995881922,1491
29,-4.52358770370483,20.4045867919922,102.5,-20.9000001881591,1481
30,-5.02139902114868,22.6500682830811,102.5,-23.2000008913325,1468
31,-5.51921033859253,24.8955478668213,102.5,-25.499999732369,1455
32,-6.01702117919922,27.1410274505615,102.5,-27.799998470199,1454
33,-6.51483249664307,29.386510848999,102.5,-30.1000010355092,1456
34,-7.01264381408691,31.6319923400879,102.5,-32.4000017386825,1459
35,-7.5104546546936,33.8774719238281,102.5,-34.7000004765126,1451
36,-8.00826549530029,36.1229515075684,102.5,-36.9999992143426,1465
37,-8.50607681274414,38.3684310913086,102.5,-39.2999980553791,1451
38,-9.50169944763184,42.8593978881836,102.5,-43.9000031859995,1486
39,-11.0167770385742,49.6934700012207,102.5,-50.9000033111971,1433
56,27.8244361877441,6.16852903366089,12.5,28.4999999930695,1631
57,21.0879936218262,4.6750955581665,12.5,21.5999998488928,1618
58,18.8425121307373,4.17728424072266,12.5,19.2999991457195,1607
59,16.5970325469971,3.67947340011597,12.5,17.0000004078894,1608
60,14.3515510559082,3.1816623210907,12.5,14.6999997563193,1601
61,12.106071472168,2.68385124206543,12.5,12.4000000358176,1603
62,9.8605899810791,2.18604016304016,12.5,10.100000315316,1612
63,7.61510896682739,1.68822908401489,12.5,7.80000012928005,1607
64,5.27199840545654,1.16877388954163,12.5,5.3999999622232,1618
65,3.02651762962341,0.670962810516357,12.5,3.10000000895441,1649
66,0.781036794185638,0.173151686787605,12.5,0.799999987818233,1595
67,-1.46444404125214,-0.324659407138824,12.5,-1.50000002686754,1580
68,-3.70992469787598,-0.822470545768738,12.5,-3.79999987665359,1574
69,-5.95540571212769,-1.32028162479401,12.5,-6.10000006268949,1574
70,-8.20088577270508,-1.81809270381927,12.5,-8.39999931765696,1559
71,-10.4463672637939,-2.31590390205383,12.5,-10.6999999950287,1578
72,-12.6918478012085,-2.8137149810791,12.5,-12.9999997155304,1591
73,-14.9373292922974,-3.31152606010437,12.5,-15.3000003671005,1579
74,-17.1828098297119,-3.80933737754822,12.5,-17.6000001392054,1588
75,-19.4282894134521,-4.30714845657349,12.5,-19.8999989286387,1581
76,-21.6737728118896,-4.80495977401733,12.5,-22.2000014939489,1569
77,-23.9192523956299,-5.30277061462402,12.5,-24.5000002317789,1572
78,-26.2623615264893,-5.82222557067871,12.5,-26.8999989506299,1584
79,-28.5078449249268,-6.32003688812256,12.5,-29.2000015159401,1565
95,23.8699417114258,-25.5973796844482,133,34.9999994859524,1718
96,22.3013477325439,-23.9152660369873,133,32.7000009221364,1711
97,20.7327499389648,-22.2331523895264,133,30.3999997567031,1710
98,19.1641540527344,-20.5510387420654,133,28.0999998920785,1715
99,17.5955562591553,-18.8689250946045,133,25.7999987266452,1713
100,16.0269622802734,-17.1868114471436,133,23.5000001628292,1717
101,14.3901653289795,-15.4315633773804,133,21.1000001532102,1715
102,12.8215675354004,-13.7494487762451,133,18.799998940708,1712
103,11.2529726028442,-12.0673360824585,133,16.4999997735566,1710
104,9.68437671661377,-10.3852224349976,133,14.199999908932,1692
105,8.11577987670898,-8.70310878753662,133,11.899999393903,1669
106,6.54718446731567,-7.02099561691284,133,9.60000020321713,1679
107,4.97858810424805,-5.3388819694519,133,7.30000001339033,1691
108,3.40999174118042,-3.65676856040955,133,4.99999999793184,1647
109,1.84139561653137,-1.9746550321579,133,2.70000005789027,1630
110,0.272799342870712,-0.292541474103928,133,0.399999994426989,1616
111,-1.2957968711853,1.3895720243454,133,-1.89999998479394,1576
112,-2.86439299583435,3.07168531417847,133,-4.1999997504672,1561
113,-4.4329891204834,4.7537989616394,133,-6.49999977769292,1558
114,-6.00158548355103,6.43591260910034,133,-8.79999996751973,1538
115,-7.63838148117065,8.19116115570068,133,-11.199999675471,1525
116,-9.20697784423828,9.87327480316162,133,-13.4999998652978,1509
117,-10.7755746841431,11.5553884506226,133,-15.8000003803268,1501
118,-12.3441705703735,13.2375020980835,133,-18.1000002449514,1494
119,-13.912766456604,14.9196147918701,133,-20.3999994121028,1489
120,-15.4813632965088,16.6017303466797,133,-22.7000013220783,1493
121,-17.0499591827393,18.283842086792,133,-24.9999997917564,1487
122,-18.6185550689697,19.9659557342529,133,-27.2999996563811,1495
123,-20.1871509552002,21.6480693817139,133,-29.5999995210057,1511
124,-21.7557468414307,23.3301830291748,133,-31.8999993856303,1505
125,-23.3243446350098,25.0122966766357,133,-34.2000005510636,1508
126,-24.8929405212402,26.6944103240967,133,-36.5000004156883,1507
127,-26.4615364074707,28.3765239715576,133,-38.8000002803129,1513
128,-28.0301322937012,30.0586357116699,133,-41.0999987499911,1493
129,-29.6669292449951,31.8138866424561,133,-43.5000008520298,1495
143,18.4201126098633,-47.9860343933105,111,51.4000004412065,1736
144,17.5958652496338,-45.8387985229492,111,49.0999992251609,1744
145,16.7716197967529,-43.6915626525879,111,46.7999986926479,1765
146,15.9473733901978,-41.5443305969238,111,44.5000013796954,1766
147,14.2630443572998,-37.1565017700195,111,39.8000007301981,1764
148,13.4387979507446,-35.0092658996582,111,37.4999998559188,1715
149,12.6145515441895,-32.8620300292969,111,35.1999993234058,1751
150,11.7903060913086,-30.7147979736328,111,32.9000020104532,1761
151,10.9660596847534,-28.5675621032715,111,30.600001136174,1763
152,10.1418123245239,-26.4203262329102,111,28.2999999201284,1758
153,9.31756687164307,-24.2730903625488,111,25.9999993876154,1743
154,8.49332046508789,-22.1258563995361,111,23.7000002939995,1738
155,7.66907405853271,-19.9786205291748,111,21.3999994197202,1732
156,6.8448281288147,-17.8313865661621,111,19.1000004969874,1734
157,6.02058124542236,-15.6841506958008,111,16.799999451825,1723
158,5.19633531570435,-13.5369157791138,111,14.4999996387605,1706
159,4.37208890914917,-11.3896808624268,111,12.1999996548129,1665
160,3.54784250259399,-9.24244594573975,111,9.89999967086532,1677
161,2.68775963783264,-7.00185298919678,111,7.49999981020574,1679
162,1.86351323127747,-4.85461807250977,111,5.19999982625813,1601
163,1.03926706314087,-2.70738339424133,111,2.90000015033502,1629
164,0.215020775794983,-0.560148298740387,111,0.60000004217102,1621
165,-0.609225511550903,1.58708679676056,111,-1.70000006599299,1574
